Sample Name	Replicate	Primer Name	CT
YP_001111256.1	rep1	YP_717939-Dloop1F/R	15.810
YP_001111256.1	rep2	YP_717939-Dloop1F/R	15.987
YP_001111256.1	rep3	YP_717939-Dloop1F/R	16.033
YP_001111256.1 (Input)	rep1	YP_717939-Dloop1F/R	17.821
YP_001111256.1 (Input)	rep2	YP_717939-Dloop1F/R	17.820
YP_001111256.1 (Input)	rep3	YP_717939-Dloop1F/R	17.835
Negative Control	rep1	YP_717939-Dloop1F/R	23.529
Negative Control	rep2	YP_717939-Dloop1F/R	23.807
Negative Control	rep3	YP_717939-Dloop1F/R	23.812
Negative Control (Input)	rep1	YP_717939-Dloop1F/R	20.107
Negative Control (Input)	rep2	YP_717939-Dloop1F/R	20.109
Negative Control (Input)	rep3	YP_717939-Dloop1F/R	20.226
Empty Vector	rep1	YP_717939-Dloop1F/R	20.204
Empty Vector	rep2	YP_717939-Dloop1F/R	20.474
Empty Vector	rep3	YP_717939-Dloop1F/R	20.413
Empty Vector (Input)	rep1	YP_717939-Dloop1F/R	17.489
Empty Vector (Input)	rep2	YP_717939-Dloop1F/R	17.683
Empty Vector (Input)	rep3	YP_717939-Dloop1F/R	17.677
HEK293T	rep1	YP_717939-Dloop1F/R	20.844
HEK293T	rep2	YP_717939-Dloop1F/R	21.050
HEK293T	rep3	YP_717939-Dloop1F/R	20.858
HEK293T (Input)	rep1	YP_717939-Dloop1F/R	19.792
HEK293T (Input)	rep2	YP_717939-Dloop1F/R	19.790
HEK293T (Input)	rep3	YP_717939-Dloop1F/R	19.804
YP_009553535.1	rep1	YP_009553535-ND6-425F/R	15.868
YP_009553535.1	rep2	YP_009553535-ND6-425F/R	15.980
YP_009553535.1	rep3	YP_009553535-ND6-425F/R	16.046
YP_009553535.1 (Input)	rep1	YP_009553535-ND6-425F/R	16.982
YP_009553535.1 (Input)	rep2	YP_009553535-ND6-425F/R	16.993
YP_009553535.1 (Input)	rep3	YP_009553535-ND6-425F/R	17.102
YP_009508805.1	rep1	YP_009553535-ND6-425F/R	21.486
YP_009508805.1	rep2	YP_009553535-ND6-425F/R	21.524
YP_009508805.1	rep3	YP_009553535-ND6-425F/R	21.534
YP_009508805.1 (Input)	rep1	YP_009553535-ND6-425F/R	19.312
YP_009508805.1 (Input)	rep2	YP_009553535-ND6-425F/R	19.362
YP_009508805.1 (Input)	rep3	YP_009553535-ND6-425F/R	19.348
Empty Vector	rep1	YP_009553535-ND6-425F/R	18.881
Empty Vector	rep2	YP_009553535-ND6-425F/R	18.919
Empty Vector	rep3	YP_009553535-ND6-425F/R	18.936
Empty Vector (Input)	rep1	YP_009553535-ND6-425F/R	17.545
Empty Vector (Input)	rep2	YP_009553535-ND6-425F/R	17.565
Empty Vector (Input)	rep3	YP_009553535-ND6-425F/R	17.504
HEK293T	rep1	YP_009553535-ND6-425F/R	20.128
HEK293T	rep2	YP_009553535-ND6-425F/R	20.133
HEK293T	rep3	YP_009553535-ND6-425F/R	20.078
HEK293T (Input)	rep1	YP_009553535-ND6-425F/R	19.240
HEK293T (Input)	rep2	YP_009553535-ND6-425F/R	19.077
HEK293T (Input)	rep3	YP_009553535-ND6-425F/R	19.028
YP_009508841.1	rep1	YP_009508841-ND2-225F/R	20.213
YP_009508841.1	rep2	YP_009508841-ND2-225F/R	20.111
YP_009508841.1	rep3	YP_009508841-ND2-225F/R	20.290
YP_009508841.1 (Input)	rep1	YP_009508841-ND2-225F/R	18.805
YP_009508841.1 (Input)	rep2	YP_009508841-ND2-225F/R	18.867
YP_009508841.1 (Input)	rep3	YP_009508841-ND2-225F/R	18.813
Negative Control	rep1	YP_009508841-ND2-225F/R	24.163
Negative Control	rep2	YP_009508841-ND2-225F/R	23.787
Negative Control	rep3	YP_009508841-ND2-225F/R	24.016
Negative Control (Input)	rep1	YP_009508841-ND2-225F/R	20.998
Negative Control (Input)	rep2	YP_009508841-ND2-225F/R	21.121
Negative Control (Input)	rep3	YP_009508841-ND2-225F/R	21.067
Empty Vector	rep1	YP_009508841-ND2-225F/R	23.384
Empty Vector	rep2	YP_009508841-ND2-225F/R	23.388
Empty Vector	rep3	YP_009508841-ND2-225F/R	23.845
Empty Vector (Input)	rep1	YP_009508841-ND2-225F/R	18.515
Empty Vector (Input)	rep2	YP_009508841-ND2-225F/R	18.387
Empty Vector (Input)	rep3	YP_009508841-ND2-225F/R	18.519
HEK293T	rep1	YP_009508841-ND2-225F/R	22.134
HEK293T	rep2	YP_009508841-ND2-225F/R	22.115
HEK293T	rep3	YP_009508841-ND2-225F/R	22.027
HEK293T (Input)	rep1	YP_009508841-ND2-225F/R	20.564
HEK293T (Input)	rep2	YP_009508841-ND2-225F/R	20.609
HEK293T (Input)	rep3	YP_009508841-ND2-225F/R	20.619
YP_009111420.1	rep1	YP_009111420-ND1F/R	26.840
YP_009111420.1	rep2	YP_009111420-ND1F/R	27.638
YP_009111420.1	rep3	YP_009111420-ND1F/R	27.714
YP_009111420.1 (Input)	rep1	YP_009111420-ND1F/R	26.854
YP_009111420.1 (Input)	rep2	YP_009111420-ND1F/R	27.242
YP_009111420.1 (Input)	rep3	YP_009111420-ND1F/R	26.984
Negative Control	rep1	YP_009111420-ND1F/R	32.243
Negative Control	rep2	YP_009111420-ND1F/R	32.544
Negative Control	rep3	YP_009111420-ND1F/R	32.683
Negative Control (Input)	rep1	YP_009111420-ND1F/R	29.521
Negative Control (Input)	rep2	YP_009111420-ND1F/R	29.612
Negative Control (Input)	rep3	YP_009111420-ND1F/R	29.410
Empty Vector	rep1	YP_009111420-ND1F/R	28.200
Empty Vector	rep2	YP_009111420-ND1F/R	28.594
Empty Vector	rep3	YP_009111420-ND1F/R	29.244
Empty Vector (Input)	rep1	YP_009111420-ND1F/R	26.356
Empty Vector (Input)	rep2	YP_009111420-ND1F/R	25.991
Empty Vector (Input)	rep3	YP_009111420-ND1F/R	26.175
HEK293T	rep1	YP_009111420-ND1F/R	30.521
HEK293T	rep2	YP_009111420-ND1F/R	30.611
HEK293T	rep3	YP_009111420-ND1F/R	30.851
HEK293T (Input)	rep1	YP_009111420-ND1F/R	29.239
HEK293T (Input)	rep2	YP_009111420-ND1F/R	29.348
HEK293T (Input)	rep3	YP_009111420-ND1F/R	29.302
YP_008431134.1	rep1	YP_008431134-Dloop1F/R	18.975
YP_008431134.1	rep2	YP_008431134-Dloop1F/R	19.004
YP_008431134.1	rep3	YP_008431134-Dloop1F/R	19.126
YP_008431134.1 (Input)	rep1	YP_008431134-Dloop1F/R	19.699
YP_008431134.1 (Input)	rep2	YP_008431134-Dloop1F/R	19.687
YP_008431134.1 (Input)	rep3	YP_008431134-Dloop1F/R	19.826
Negative Control	rep1	YP_008431134-Dloop1F/R	22.742
Negative Control	rep2	YP_008431134-Dloop1F/R	22.905
Negative Control	rep3	YP_008431134-Dloop1F/R	22.976
Negative Control (Input)	rep1	YP_008431134-Dloop1F/R	19.797
Negative Control (Input)	rep2	YP_008431134-Dloop1F/R	19.691
Negative Control (Input)	rep3	YP_008431134-Dloop1F/R	19.763
Empty Vector	rep1	YP_008431134-Dloop1F/R	20.259
Empty Vector	rep2	YP_008431134-Dloop1F/R	20.185
Empty Vector	rep3	YP_008431134-Dloop1F/R	20.345
Empty Vector (Input)	rep1	YP_008431134-Dloop1F/R	17.768
Empty Vector (Input)	rep2	YP_008431134-Dloop1F/R	17.753
Empty Vector (Input)	rep3	YP_008431134-Dloop1F/R	17.899
HEK293T	rep1	YP_008431134-Dloop1F/R	21.156
HEK293T	rep2	YP_008431134-Dloop1F/R	21.230
HEK293T	rep3	YP_008431134-Dloop1F/R	21.216
HEK293T (Input)	rep1	YP_008431134-Dloop1F/R	19.899
HEK293T (Input)	rep2	YP_008431134-Dloop1F/R	19.929
HEK293T (Input)	rep3	YP_008431134-Dloop1F/R	19.854
