Group	Replicate	JC-1 Red (B2, %)	JC-1 Green (B4, %)	B2/B4 Ratio
Empty Vector	rep1	73.80%	25.60%	2.882813
Empty Vector	rep2	67.60%	32.00%	2.1125
Empty Vector	rep3	68.90%	30.40%	2.266447
Negative Control	rep1	70%	29.40%	2.380952
Negative Control	rep2	68.40%	31.10%	2.199357
Negative Control	rep3	66.70%	32.70%	2.039755
YP_001111256.1	rep1	57.70%	41.80%	1.380383
YP_001111256.1	rep2	47.90%	51.60%	0.928295
YP_001111256.1	rep3	53.50%	45.90%	1.165577
YP_009553535.1	rep1	44.80%	54.70%	0.819013
YP_009553535.1	rep2	42%	57.70%	0.727903
YP_009553535.1	rep3	50.60%	49%	1.032653
YP_009508841.1	rep1	49.40%	49.90%	0.98998
YP_009508841.1	rep2	42.30%	57.10%	0.740806
YP_009508841.1	rep3	44.20%	55.30%	0.799277
YP_009111420.1	rep1	57.30%	42.40%	1.351415
YP_009111420.1	rep2	61.30%	38.40%	1.596354
YP_009111420.1	rep3	56.90%	42.70%	1.332553
YP_008431134.1	rep1	46.80%	52.80%	0.886364
YP_008431134.1	rep2	60.60%	39.10%	1.549872
YP_008431134.1	rep3	47.90%	51.80%	0.92471
