bin_left	bin_right	count	proportion
0.0000000000	0.0050000000	0	0
0.0050000000	0.0100000000	0	0
0.0100000000	0.0150000000	0	0
0.0150000000	0.0200000000	0	0
0.0200000000	0.0250000000	0	0
0.0250000000	0.0300000000	0	0
0.0300000000	0.0350000000	0	0
0.0350000000	0.0400000000	0	0
0.0400000000	0.0450000000	0	0
0.0450000000	0.0500000000	0	0
0.0500000000	0.0550000000	0	0
0.0550000000	0.0600000000	0	0
0.0600000000	0.0650000000	0	0
0.0650000000	0.0700000000	0	0
0.0700000000	0.0750000000	0	0
0.0750000000	0.0800000000	0	0
0.0800000000	0.0850000000	0	0
0.0850000000	0.0900000000	0	0
0.0900000000	0.0950000000	0	0
0.0950000000	0.1000000000	0	0
0.1000000000	0.1050000000	0	0
0.1050000000	0.1100000000	0	0
0.1100000000	0.1150000000	0	0
0.1150000000	0.1200000000	0	0
0.1200000000	0.1250000000	0	0
0.1250000000	0.1300000000	0	0
0.1300000000	0.1350000000	0	0
0.1350000000	0.1400000000	0	0
0.1400000000	0.1450000000	0	0
0.1450000000	0.1500000000	0	0
0.1500000000	0.1550000000	0	0
0.1550000000	0.1600000000	0	0
0.1600000000	0.1650000000	0	0
0.1650000000	0.1700000000	0	0
0.1700000000	0.1750000000	0	0
0.1750000000	0.1800000000	0	0
0.1800000000	0.1850000000	0	0
0.1850000000	0.1900000000	0	0
0.1900000000	0.1950000000	0	0
0.1950000000	0.2000000000	0	0
0.2000000000	0.2050000000	0	0
0.2050000000	0.2100000000	0	0
0.2100000000	0.2150000000	0	0
0.2150000000	0.2200000000	0	0
0.2200000000	0.2250000000	0	0
0.2250000000	0.2300000000	0	0
0.2300000000	0.2350000000	0	0
0.2350000000	0.2400000000	0	0
0.2400000000	0.2450000000	0	0
0.2450000000	0.2500000000	0	0
0.2500000000	0.2550000000	0	0
0.2550000000	0.2600000000	0	0
0.2600000000	0.2650000000	1	0.0001
0.2650000000	0.2700000000	2	0.0002
0.2700000000	0.2750000000	0	0
0.2750000000	0.2800000000	0	0
0.2800000000	0.2850000000	1	0.0001
0.2850000000	0.2900000000	1	0.0001
0.2900000000	0.2950000000	0	0
0.2950000000	0.3000000000	2	0.0002
0.3000000000	0.3050000000	0	0
0.3050000000	0.3100000000	3	0.0003
0.3100000000	0.3150000000	2	0.0002
0.3150000000	0.3200000000	7	0.0007
0.3200000000	0.3250000000	4	0.0004
0.3250000000	0.3300000000	7	0.0007
0.3300000000	0.3350000000	3	0.0003
0.3350000000	0.3400000000	4	0.0004
0.3400000000	0.3450000000	9	0.0009
0.3450000000	0.3500000000	8	0.0008
0.3500000000	0.3550000000	24	0.0024
0.3550000000	0.3600000000	30	0.003
0.3600000000	0.3650000000	25	0.0025
0.3650000000	0.3700000000	30	0.003
0.3700000000	0.3750000000	35	0.0035
0.3750000000	0.3800000000	43	0.0043
0.3800000000	0.3850000000	68	0.0068
0.3850000000	0.3900000000	66	0.0066
0.3900000000	0.3950000000	83	0.0083
0.3950000000	0.4000000000	104	0.0104
0.4000000000	0.4050000000	137	0.0137
0.4050000000	0.4100000000	103	0.0103
0.4100000000	0.4150000000	165	0.0165
0.4150000000	0.4200000000	210	0.021
0.4200000000	0.4250000000	202	0.0202
0.4250000000	0.4300000000	228	0.0228
0.4300000000	0.4350000000	135	0.0135
0.4350000000	0.4400000000	151	0.0151
0.4400000000	0.4450000000	175	0.0175
0.4450000000	0.4500000000	183	0.0183
0.4500000000	0.4550000000	166	0.0166
0.4550000000	0.4600000000	194	0.0194
0.4600000000	0.4650000000	157	0.0157
0.4650000000	0.4700000000	189	0.0189
0.4700000000	0.4750000000	179	0.0179
0.4750000000	0.4800000000	217	0.0217
0.4800000000	0.4850000000	242	0.0242
0.4850000000	0.4900000000	346	0.0346
0.4900000000	0.4950000000	290	0.029
0.4950000000	0.5000000000	585	0.0585
0.5000000000	0.5050000000	412	0.0412
0.5050000000	0.5100000000	382	0.0382
0.5100000000	0.5150000000	330	0.033
0.5150000000	0.5200000000	313	0.0313
0.5200000000	0.5250000000	355	0.0355
0.5250000000	0.5300000000	175	0.0175
0.5300000000	0.5350000000	252	0.0252
0.5350000000	0.5400000000	121	0.0121
0.5400000000	0.5450000000	187	0.0187
0.5450000000	0.5500000000	117	0.0117
0.5500000000	0.5550000000	284	0.0284
0.5550000000	0.5600000000	165	0.0165
0.5600000000	0.5650000000	130	0.013
0.5650000000	0.5700000000	252	0.0252
0.5700000000	0.5750000000	311	0.0311
0.5750000000	0.5800000000	237	0.0237
0.5800000000	0.5850000000	187	0.0187
0.5850000000	0.5900000000	107	0.0107
0.5900000000	0.5950000000	137	0.0137
0.5950000000	0.6000000000	31	0.0031
0.6000000000	0.6050000000	70	0.007
0.6050000000	0.6100000000	45	0.0045
0.6100000000	0.6150000000	107	0.0107
0.6150000000	0.6200000000	59	0.0059
0.6200000000	0.6250000000	0	0
0.6250000000	0.6300000000	0	0
0.6300000000	0.6350000000	122	0.0122
0.6350000000	0.6400000000	145	0.0145
0.6400000000	0.6450000000	49	0.0049
0.6450000000	0.6500000000	29	0.0029
0.6500000000	0.6550000000	0	0
0.6550000000	0.6600000000	0	0
0.6600000000	0.6650000000	73	0.0073
0.6650000000	0.6700000000	0	0
0.6700000000	0.6750000000	0	0
0.6750000000	0.6800000000	0	0
0.6800000000	0.6850000000	0	0
0.6850000000	0.6900000000	0	0
0.6900000000	0.6950000000	0	0
0.6950000000	0.7000000000	0	0
0.7000000000	0.7050000000	0	0
0.7050000000	0.7100000000	0	0
0.7100000000	0.7150000000	0	0
0.7150000000	0.7200000000	0	0
0.7200000000	0.7250000000	0	0
0.7250000000	0.7300000000	0	0
0.7300000000	0.7350000000	0	0
0.7350000000	0.7400000000	0	0
0.7400000000	0.7450000000	0	0
0.7450000000	0.7500000000	0	0
0.7500000000	0.7550000000	0	0
0.7550000000	0.7600000000	0	0
0.7600000000	0.7650000000	0	0
0.7650000000	0.7700000000	0	0
0.7700000000	0.7750000000	0	0
0.7750000000	0.7800000000	0	0
