bin_left	bin_right	count	proportion
0.0000000000	0.0050000000	0	0
0.0050000000	0.0100000000	0	0
0.0100000000	0.0150000000	0	0
0.0150000000	0.0200000000	0	0
0.0200000000	0.0250000000	0	0
0.0250000000	0.0300000000	0	0
0.0300000000	0.0350000000	0	0
0.0350000000	0.0400000000	0	0
0.0400000000	0.0450000000	0	0
0.0450000000	0.0500000000	0	0
0.0500000000	0.0550000000	0	0
0.0550000000	0.0600000000	0	0
0.0600000000	0.0650000000	0	0
0.0650000000	0.0700000000	0	0
0.0700000000	0.0750000000	0	0
0.0750000000	0.0800000000	0	0
0.0800000000	0.0850000000	0	0
0.0850000000	0.0900000000	0	0
0.0900000000	0.0950000000	0	0
0.0950000000	0.1000000000	0	0
0.1000000000	0.1050000000	0	0
0.1050000000	0.1100000000	0	0
0.1100000000	0.1150000000	0	0
0.1150000000	0.1200000000	0	0
0.1200000000	0.1250000000	0	0
0.1250000000	0.1300000000	0	0
0.1300000000	0.1350000000	0	0
0.1350000000	0.1400000000	0	0
0.1400000000	0.1450000000	0	0
0.1450000000	0.1500000000	0	0
0.1500000000	0.1550000000	0	0
0.1550000000	0.1600000000	0	0
0.1600000000	0.1650000000	0	0
0.1650000000	0.1700000000	0	0
0.1700000000	0.1750000000	0	0
0.1750000000	0.1800000000	0	0
0.1800000000	0.1850000000	0	0
0.1850000000	0.1900000000	0	0
0.1900000000	0.1950000000	0	0
0.1950000000	0.2000000000	0	0
0.2000000000	0.2050000000	0	0
0.2050000000	0.2100000000	0	0
0.2100000000	0.2150000000	0	0
0.2150000000	0.2200000000	0	0
0.2200000000	0.2250000000	0	0
0.2250000000	0.2300000000	0	0
0.2300000000	0.2350000000	0	0
0.2350000000	0.2400000000	1	0.0001
0.2400000000	0.2450000000	1	0.0001
0.2450000000	0.2500000000	0	0
0.2500000000	0.2550000000	1	0.0001
0.2550000000	0.2600000000	1	0.0001
0.2600000000	0.2650000000	0	0
0.2650000000	0.2700000000	2	0.0002
0.2700000000	0.2750000000	5	0.0005
0.2750000000	0.2800000000	2	0.0002
0.2800000000	0.2850000000	5	0.0005
0.2850000000	0.2900000000	4	0.0004
0.2900000000	0.2950000000	6	0.0006
0.2950000000	0.3000000000	2	0.0002
0.3000000000	0.3050000000	5	0.0005
0.3050000000	0.3100000000	1	0.0001
0.3100000000	0.3150000000	0	0
0.3150000000	0.3200000000	2	0.0002
0.3200000000	0.3250000000	6	0.0006
0.3250000000	0.3300000000	11	0.0011
0.3300000000	0.3350000000	5	0.0005
0.3350000000	0.3400000000	12	0.0012
0.3400000000	0.3450000000	13	0.0013
0.3450000000	0.3500000000	17	0.0017
0.3500000000	0.3550000000	19	0.0019
0.3550000000	0.3600000000	16	0.0016
0.3600000000	0.3650000000	34	0.0034
0.3650000000	0.3700000000	17	0.0017
0.3700000000	0.3750000000	33	0.0033
0.3750000000	0.3800000000	55	0.0055
0.3800000000	0.3850000000	37	0.0037
0.3850000000	0.3900000000	56	0.0056
0.3900000000	0.3950000000	33	0.0033
0.3950000000	0.4000000000	44	0.0044
0.4000000000	0.4050000000	53	0.0053
0.4050000000	0.4100000000	65	0.0065
0.4100000000	0.4150000000	53	0.0053
0.4150000000	0.4200000000	89	0.0089
0.4200000000	0.4250000000	100	0.01
0.4250000000	0.4300000000	120	0.012
0.4300000000	0.4350000000	161	0.0161
0.4350000000	0.4400000000	122	0.0122
0.4400000000	0.4450000000	133	0.0133
0.4450000000	0.4500000000	159	0.0159
0.4500000000	0.4550000000	112	0.0112
0.4550000000	0.4600000000	111	0.0111
0.4600000000	0.4650000000	203	0.0203
0.4650000000	0.4700000000	106	0.0106
0.4700000000	0.4750000000	206	0.0206
0.4750000000	0.4800000000	95	0.0095
0.4800000000	0.4850000000	224	0.0224
0.4850000000	0.4900000000	135	0.0135
0.4900000000	0.4950000000	250	0.025
0.4950000000	0.5000000000	229	0.0229
0.5000000000	0.5050000000	269	0.0269
0.5050000000	0.5100000000	282	0.0282
0.5100000000	0.5150000000	167	0.0167
0.5150000000	0.5200000000	176	0.0176
0.5200000000	0.5250000000	157	0.0157
0.5250000000	0.5300000000	182	0.0182
0.5300000000	0.5350000000	97	0.0097
0.5350000000	0.5400000000	158	0.0158
0.5400000000	0.5450000000	147	0.0147
0.5450000000	0.5500000000	144	0.0144
0.5500000000	0.5550000000	135	0.0135
0.5550000000	0.5600000000	119	0.0119
0.5600000000	0.5650000000	172	0.0172
0.5650000000	0.5700000000	103	0.0103
0.5700000000	0.5750000000	157	0.0157
0.5750000000	0.5800000000	182	0.0182
0.5800000000	0.5850000000	207	0.0207
0.5850000000	0.5900000000	259	0.0259
0.5900000000	0.5950000000	189	0.0189
0.5950000000	0.6000000000	206	0.0206
0.6000000000	0.6050000000	234	0.0234
0.6050000000	0.6100000000	140	0.014
0.6100000000	0.6150000000	100	0.01
0.6150000000	0.6200000000	138	0.0138
0.6200000000	0.6250000000	79	0.0079
0.6250000000	0.6300000000	228	0.0228
0.6300000000	0.6350000000	114	0.0114
0.6350000000	0.6400000000	211	0.0211
0.6400000000	0.6450000000	77	0.0077
0.6450000000	0.6500000000	162	0.0162
0.6500000000	0.6550000000	108	0.0108
0.6550000000	0.6600000000	151	0.0151
0.6600000000	0.6650000000	134	0.0134
0.6650000000	0.6700000000	85	0.0085
0.6700000000	0.6750000000	103	0.0103
0.6750000000	0.6800000000	96	0.0096
0.6800000000	0.6850000000	87	0.0087
0.6850000000	0.6900000000	35	0.0035
0.6900000000	0.6950000000	70	0.007
0.6950000000	0.7000000000	50	0.005
0.7000000000	0.7050000000	85	0.0085
0.7050000000	0.7100000000	169	0.0169
0.7100000000	0.7150000000	199	0.0199
0.7150000000	0.7200000000	94	0.0094
0.7200000000	0.7250000000	15	0.0015
0.7250000000	0.7300000000	0	0
0.7300000000	0.7350000000	0	0
0.7350000000	0.7400000000	20	0.002
0.7400000000	0.7450000000	0	0
0.7450000000	0.7500000000	0	0
0.7500000000	0.7550000000	86	0.0086
0.7550000000	0.7600000000	0	0
