bin_left	bin_right	count	proportion
0.0000000000	0.0050000000	0	0
0.0050000000	0.0100000000	0	0
0.0100000000	0.0150000000	0	0
0.0150000000	0.0200000000	0	0
0.0200000000	0.0250000000	0	0
0.0250000000	0.0300000000	0	0
0.0300000000	0.0350000000	0	0
0.0350000000	0.0400000000	0	0
0.0400000000	0.0450000000	0	0
0.0450000000	0.0500000000	0	0
0.0500000000	0.0550000000	0	0
0.0550000000	0.0600000000	0	0
0.0600000000	0.0650000000	0	0
0.0650000000	0.0700000000	0	0
0.0700000000	0.0750000000	0	0
0.0750000000	0.0800000000	0	0
0.0800000000	0.0850000000	0	0
0.0850000000	0.0900000000	0	0
0.0900000000	0.0950000000	0	0
0.0950000000	0.1000000000	0	0
0.1000000000	0.1050000000	0	0
0.1050000000	0.1100000000	0	0
0.1100000000	0.1150000000	0	0
0.1150000000	0.1200000000	0	0
0.1200000000	0.1250000000	0	0
0.1250000000	0.1300000000	0	0
0.1300000000	0.1350000000	0	0
0.1350000000	0.1400000000	0	0
0.1400000000	0.1450000000	0	0
0.1450000000	0.1500000000	0	0
0.1500000000	0.1550000000	0	0
0.1550000000	0.1600000000	0	0
0.1600000000	0.1650000000	0	0
0.1650000000	0.1700000000	0	0
0.1700000000	0.1750000000	0	0
0.1750000000	0.1800000000	0	0
0.1800000000	0.1850000000	0	0
0.1850000000	0.1900000000	0	0
0.1900000000	0.1950000000	0	0
0.1950000000	0.2000000000	0	0
0.2000000000	0.2050000000	0	0
0.2050000000	0.2100000000	0	0
0.2100000000	0.2150000000	0	0
0.2150000000	0.2200000000	0	0
0.2200000000	0.2250000000	0	0
0.2250000000	0.2300000000	0	0
0.2300000000	0.2350000000	0	0
0.2350000000	0.2400000000	0	0
0.2400000000	0.2450000000	0	0
0.2450000000	0.2500000000	0	0
0.2500000000	0.2550000000	0	0
0.2550000000	0.2600000000	0	0
0.2600000000	0.2650000000	0	0
0.2650000000	0.2700000000	0	0
0.2700000000	0.2750000000	0	0
0.2750000000	0.2800000000	0	0
0.2800000000	0.2850000000	0	0
0.2850000000	0.2900000000	0	0
0.2900000000	0.2950000000	0	0
0.2950000000	0.3000000000	0	0
0.3000000000	0.3050000000	1	0.0001
0.3050000000	0.3100000000	1	0.0001
0.3100000000	0.3150000000	0	0
0.3150000000	0.3200000000	1	0.0001
0.3200000000	0.3250000000	1	0.0001
0.3250000000	0.3300000000	1	0.0001
0.3300000000	0.3350000000	3	0.0003
0.3350000000	0.3400000000	1	0.0001
0.3400000000	0.3450000000	5	0.0005
0.3450000000	0.3500000000	4	0.0004
0.3500000000	0.3550000000	11	0.0011
0.3550000000	0.3600000000	6	0.0006
0.3600000000	0.3650000000	13	0.0013
0.3650000000	0.3700000000	16	0.0016
0.3700000000	0.3750000000	13	0.0013
0.3750000000	0.3800000000	28	0.0028
0.3800000000	0.3850000000	35	0.0035
0.3850000000	0.3900000000	48	0.0048
0.3900000000	0.3950000000	52	0.0052
0.3950000000	0.4000000000	66	0.0066
0.4000000000	0.4050000000	94	0.0094
0.4050000000	0.4100000000	88	0.0088
0.4100000000	0.4150000000	81	0.0081
0.4150000000	0.4200000000	79	0.0079
0.4200000000	0.4250000000	101	0.0101
0.4250000000	0.4300000000	113	0.0113
0.4300000000	0.4350000000	110	0.011
0.4350000000	0.4400000000	110	0.011
0.4400000000	0.4450000000	126	0.0126
0.4450000000	0.4500000000	107	0.0107
0.4500000000	0.4550000000	141	0.0141
0.4550000000	0.4600000000	160	0.016
0.4600000000	0.4650000000	150	0.015
0.4650000000	0.4700000000	179	0.0179
0.4700000000	0.4750000000	241	0.0241
0.4750000000	0.4800000000	177	0.0177
0.4800000000	0.4850000000	166	0.0166
0.4850000000	0.4900000000	209	0.0209
0.4900000000	0.4950000000	245	0.0245
0.4950000000	0.5000000000	250	0.025
0.5000000000	0.5050000000	258	0.0258
0.5050000000	0.5100000000	162	0.0162
0.5100000000	0.5150000000	287	0.0287
0.5150000000	0.5200000000	421	0.0421
0.5200000000	0.5250000000	283	0.0283
0.5250000000	0.5300000000	445	0.0445
0.5300000000	0.5350000000	368	0.0368
0.5350000000	0.5400000000	332	0.0332
0.5400000000	0.5450000000	403	0.0403
0.5450000000	0.5500000000	302	0.0302
0.5500000000	0.5550000000	248	0.0248
0.5550000000	0.5600000000	210	0.021
0.5600000000	0.5650000000	250	0.025
0.5650000000	0.5700000000	203	0.0203
0.5700000000	0.5750000000	211	0.0211
0.5750000000	0.5800000000	263	0.0263
0.5800000000	0.5850000000	136	0.0136
0.5850000000	0.5900000000	124	0.0124
0.5900000000	0.5950000000	196	0.0196
0.5950000000	0.6000000000	236	0.0236
0.6000000000	0.6050000000	87	0.0087
0.6050000000	0.6100000000	32	0.0032
0.6100000000	0.6150000000	114	0.0114
0.6150000000	0.6200000000	120	0.012
0.6200000000	0.6250000000	130	0.013
0.6250000000	0.6300000000	59	0.0059
0.6300000000	0.6350000000	19	0.0019
0.6350000000	0.6400000000	70	0.007
0.6400000000	0.6450000000	124	0.0124
0.6450000000	0.6500000000	75	0.0075
0.6500000000	0.6550000000	26	0.0026
0.6550000000	0.6600000000	64	0.0064
0.6600000000	0.6650000000	87	0.0087
0.6650000000	0.6700000000	59	0.0059
0.6700000000	0.6750000000	13	0.0013
0.6750000000	0.6800000000	59	0.0059
0.6800000000	0.6850000000	18	0.0018
0.6850000000	0.6900000000	58	0.0058
0.6900000000	0.6950000000	89	0.0089
0.6950000000	0.7000000000	42	0.0042
0.7000000000	0.7050000000	0	0
0.7050000000	0.7100000000	70	0.007
0.7100000000	0.7150000000	14	0.0014
0.7150000000	0.7200000000	0	0
0.7200000000	0.7250000000	0	0
0.7250000000	0.7300000000	0	0
0.7300000000	0.7350000000	0	0
0.7350000000	0.7400000000	0	0
0.7400000000	0.7450000000	0	0
0.7450000000	0.7500000000	0	0
0.7500000000	0.7550000000	0	0
0.7550000000	0.7600000000	0	0
0.7600000000	0.7650000000	0	0
0.7650000000	0.7700000000	0	0
0.7700000000	0.7750000000	0	0
