plot,Protein_ID,Motif,Genome_Type,Accession,Organism_Name,Family,Genome_length_bp,p_value,q_bh,filename
1,NP_043126.1,Monomer,dsDNA,NC_001669,Betapolyomavirus macacae,Polyomaviridae,5243.0,0.420057994201,0.657649619653,HT-SELEX_NP_043126.1_pwm.txt
2,NP_957885.1,Monomer,dsDNA,NC_005336,Orf virus,Poxviridae,139962.0,0.314268573143,0.531741825817,HT-SELEX_NP_957885.1_pwm.txt
3,YP_001111256.1,Monomer,dsDNA,,,,,0.322267773223,0.531741825817,HT-SELEX_YP_001111256.1_pwm.txt
4,YP_001111258.1,Monomer,dsDNA,NC_009238,Betapolyomavirus tertihominis,Polyomaviridae,5040.0,0.483351664834,0.657649619653,HT-SELEX_YP_001111258.1_pwm.txt
5,YP_001129451.1,Monomer,dsDNA,NC_009334,Human herpesvirus 4 type 2,Orthoherpesviridae,172764.0,0.592540745925,0.674270503984,HT-SELEX_YP_001129451.1_pwm.txt
6,YP_001974456.1,Monomer,dsDNA,NC_010956,Human mastadenovirus D,Adenoviridae,35083.0,0.723427657234,0.795770422958,HT-SELEX_YP_001974456.1_pwm.txt
7,YP_002213784.1,Monomer,dsDNA,NC_011203,Human mastadenovirus B,Adenoviridae,35343.0,0.768323167683,0.817892404308,HT-SELEX_YP_002213784.1_pwm.txt
8,YP_003457415.1,Monomer,dsDNA,NC_013804,Pseudocowpox virus,Poxviridae,145289.0,0.568343165683,0.674270503984,HT-SELEX_YP_003457415.1_pwm.txt
9,YP_005271181.1,Monomer,dsDNA,NC_016895,bat adenovirus 3,Adenoviridae,31806.0,0.253574642536,0.531741825817,HT-SELEX_YP_005271181.1_pwm.txt
10,YP_006272959.1,Monomer,dsDNA,NC_017825,Chimpanzee adenovirus Y25,Adenoviridae,36711.0,0.848915108489,0.875443705629,HT-SELEX_YP_006272959.1_pwm.txt
11,YP_007518320.1,Monomer,dsDNA,NC_020487,Titi monkey adenovirus ECC-2011,Adenoviridae,36838.0,0.878312168783,0.878312168783,HT-SELEX_YP_007518320.1_pwm.txt
12,YP_009030018.1,Monomer,dsDNA,NC_024118,New Jersey polyomavirus-2013,Polyomaviridae,5108.0,0.226277372263,0.531741825817,HT-SELEX_YP_009030018.1_pwm.txt
13,YP_009111420.1,Monomer,dsDNA,NC_010277,Merkel cell polyomavirus,Polyomaviridae,5387.0,0.236076392361,0.531741825817,HT-SELEX_YP_009111420.1_pwm.txt
14,YP_009137113.1,Monomer,dsDNA,NC_001806,Human alphaherpesvirus 1,Orthoherpesviridae,152222.0,0.220677932207,0.531741825817,HT-SELEX_YP_009137113.1_pwm.txt
15,YP_009246379.1,Monomer,dsDNA,NC_029899,Bat mastadenovirus WIV10,Adenoviridae,37556.0,0.11498850115,0.474327567243,HT-SELEX_YP_009246379.1_pwm.txt
16,YP_009553535.1,Monomer,dsDNA,NC_040806,Gammapapillomavirus sp.,Papillomaviridae,7328.0,0.187181281872,0.531741825817,HT-SELEX_YP_009553535.1_pwm.txt
17,YP_010377141.1,Monomer,dsDNA,NC_063383,Monkeypox virus,Poxviridae,197209.0,0.581641835816,0.674270503984,HT-SELEX_YP_010377141.1_pwm.txt
18,YP_010509362.1,Monomer,dsDNA,NC_066642,Horsepox virus,Poxviridae,212633.0,0.021197880212,0.0999328638565,HT-SELEX_YP_010509362.1_pwm.txt
