Protein_ID	motif_length	PWM_file
AVM80381.1	10	HT-SELEX_AVM80381.1_pwm.txt
NP_043126.1	10	HT-SELEX_NP_043126.1_pwm.txt
NP_050210.1	18	HT-SELEX_NP_050210.1_pwm.txt
NP_570541.1	10	HT-SELEX_NP_570541.1_pwm.txt
NP_671816.1	9	HT-SELEX_NP_671816.1_pwm.txt
NP_957885.1	9	HT-SELEX_NP_957885.1_pwm.txt
YP_001111256.1	10	HT-SELEX_YP_001111256.1_pwm.txt
YP_001111258.1	10	HT-SELEX_YP_001111258.1_pwm.txt
YP_001129451.1	18	HT-SELEX_YP_001129451.1_pwm.txt
YP_001974456.1	11	HT-SELEX_YP_001974456.1_pwm.txt
YP_002213784.1	11	HT-SELEX_YP_002213784.1_pwm.txt
YP_003457415.1	10	HT-SELEX_YP_003457415.1_pwm.txt
YP_005271181.1	8	HT-SELEX_YP_005271181.1_pwm.txt
YP_005271187.1	16	HT-SELEX_YP_005271187.1_pwm.txt
YP_006272959.1	10	HT-SELEX_YP_006272959.1_pwm.txt
YP_007518320.1	11	HT-SELEX_YP_007518320.1_pwm.txt
YP_008431134.1	11	HT-SELEX_YP_008431134.1_pwm.txt
YP_009030018.1	16	HT-SELEX_YP_009030018.1_pwm.txt
YP_009058895.1	12	HT-SELEX_YP_009058895.1_pwm.txt
YP_009111420.1	11	HT-SELEX_YP_009111420.1_pwm.txt
YP_009116878.1	10	HT-SELEX_YP_009116878.1_pwm.txt
YP_009137113.1	12	HT-SELEX_YP_009137113.1_pwm.txt
YP_009246379.1	10	HT-SELEX_YP_009246379.1_pwm.txt
YP_009508805.1	12	HT-SELEX_YP_009508805.1_pwm.txt
YP_009508841.1	10	HT-SELEX_YP_009508841.1_pwm.txt
YP_009508864.1	9	HT-SELEX_YP_009508864.1_pwm.txt
YP_009553535.1	11	HT-SELEX_YP_009553535.1_pwm.txt
YP_010377141.1	15	HT-SELEX_YP_010377141.1_pwm.txt
YP_010509362.1	12	HT-SELEX_YP_010509362.1_pwm.txt
YP_010782993.1	10	HT-SELEX_YP_010782993.1_pwm.txt
YP_010796333.1	10	HT-SELEX_YP_010796333.1_pwm.txt
YP_717937.1	9	HT-SELEX_YP_717937.1_pwm.txt
YP_717939.1	10	HT-SELEX_YP_717939.1_pwm.txt
