Genome Type,Accession,Organism_Name,Species,Genus,Family,Genome_length(bp),Protein ID,Protein annotation
ds-DNA,NC_055230,Akhmeta virus,Orthopoxvirus akhmetapox,Orthopoxvirus,Poxviridae,221923,YP_010085611.1,ATPase: DNA packaging protein OPG160
ds-DNA,NC_003391,Camelpox virus,Orthopoxvirus camelpox,Orthopoxvirus,Poxviridae,205719,NP_570541.1,CMLV151: putative DNA packaging protein
ds-DNA,NC_003663,Cowpox virus,Orthopoxvirus cowpox,Orthopoxvirus,Poxviridae,224499,NP_619951.1,CPXV167: DNA packaging protein OPG160
ds-DNA,NC_004105,Ectromelia virus,Orthopoxvirus ectromelia,Orthopoxvirus,Poxviridae,209771,NP_671558.1,DNA-binding virion core protein
ds-DNA,NC_066642,Horsepox virus,Orthopoxvirus vaccinia,Orthopoxvirus,Poxviridae,212633,YP_010509362.1,ATPase A32: DNA packaging protein
ds-DNA,NC_063383,Monkeypox virus,Orthopoxvirus monkeypox,Orthopoxvirus,Poxviridae,197209,YP_010377141.1,ATPase A32: DNA packaging protein
ds-DNA,NC_006998,Orthopoxvirus vaccinia,Orthopoxvirus vaccinia,Orthopoxvirus,Poxviridae,194711,YP_233037.1,putative ATPase: DNA packaging protein
ds-DNA,NC_001611,Variola virus,Orthopoxvirus variola,Orthopoxvirus,Poxviridae,185578,NP_042183.1,A35L: DNA packaging protein OPG160
ds-DNA,NC_005179,Yaba monkey tumor virus,Yatapoxvirus yabapox,Yatapoxvirus,Poxviridae,134721,NP_938377.1,121L: DNA packaging protein OPG160
ds-DNA,NC_002642,Yaba-like disease virus,Yatapoxvirus tanapox,Yatapoxvirus,Poxviridae,144575,NP_073506.1,121L protin: DNA packaging protein OPG160
ds-DNA,NC_013804,Pseudocowpox virus,Parapoxvirus pseudocowpox,Parapoxvirus,Poxviridae,145289,YP_003457415.1,ATPase: DNA packaging protein
ds-DNA,NC_005337,Bovine papular stomatitis virus,Parapoxvirus bovinestomatitis,Parapoxvirus,Poxviridae,134431,NP_958017.1,DNA packaging protein
ds-DNA,NC_005336,Orf virus,Parapoxvirus orf,Parapoxvirus,Poxviridae,139962,NP_957885.1,ATPase: ORF108 DNA packaging protein
ds-DNA,NC_035469,NY_014 poxvirus,NY_014 poxvirus,Centapoxvirus,Poxviridae,200223,YP_009408533.1,DNA packaging protein
ds-DNA,NC_001731,Molluscum contagiosum virus subtype 1,Molluscipoxvirus molluscum,Molluscipoxvirus,Poxviridae,190289,NP_044091.1,MC140L: DNA packaging protein OPG160
ds-DNA,NC_012783,Cercopithecine betaherpesvirus 5,Cytomegalovirus cercopithecinebeta5,Cytomegalovirus,Orthoherpesviridae,226205,YP_004936014.1,UL38
ds-DNA,NC_006273,Human betaherpesvirus 5,Cytomegalovirus humanbeta5,Cytomegalovirus,Orthoherpesviridae,235646,YP_081497.1,UL38
ds-DNA,NC_027016,Papio ursinus cytomegalovirus,Cytomegalovirus cercopithecinebeta5,Cytomegalovirus,Orthoherpesviridae,226084,YP_009137490.1,UL38
ds-DNA,NC_007605,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,171823,YP_401654.1,capsid triplex subunit 1
ds-DNA,NC_009334,Human herpesvirus 4 type 2,Lymphocryptovirus humangamma4,Lymphocryptovirus,Orthoherpesviridae,172764,YP_001129451.1,capsid triplex subunit 1
