Protein_ID_A	Protein_ID_B	Similarity score (Ssum)	alphaA	alphaB	Library_Type_A	Library_Type_B
YP_008431134.1_PWM_A	YP_008431134.1_PWM_Rep1_B	1.73E-05	2.12E-05	2.29E-05	dsDNA Library	ssDNA Library
YP_008431134.1_PWM_A	YP_008431134.1_PWM_short_B	2.30E-05	2.12E-05	2.29E-05	dsDNA Library	dsDNA Library
YP_008431134.1_PWM_Rep1_A	YP_008431134.1_PWM_Rep2_B	2.29E-05	2.29E-05	2.29E-05	ssDNA Library	ssDNA Library
YP_008431134.1_PWM_Rep1_A	YP_008431134.1_PWM_short_B	3.05E-05	2.29E-05	2.29E-05	ssDNA Library	dsDNA Library
YP_008431134.1_PWM_Rep2_A	YP_008431134.1_PWM_short_B	1.52E-05	2.29E-05	2.29E-05	ssDNA Library	dsDNA Library
YP_009508864.1_PWM_A	YP_009508864.1_PWM_Rep1_B	3.05E-05	2.29E-05	2.67E-05	dsDNA Library	dsDNA Library
YP_009508864.1_PWM_A	YP_009508864.1_PWM_Rep2_B	3.05E-05	2.29E-05	2.29E-05	dsDNA Library	dsDNA Library
YP_009508864.1_PWM_Rep1_A	YP_009508864.1_PWM_Rep2_B	4.58E-05	2.67E-05	2.29E-05	dsDNA Library	dsDNA Library
YP_009116878.1_PWM_A	YP_009116878.1_PWM_Rep1_B	2.48E-05	2.10E-05	2.19E-05	dsDNA Library	ssDNA Library
YP_009116878.1_PWM_A	YP_009116878.1_PWM_Rep2_B	2.67E-05	2.10E-05	2.48E-05	dsDNA Library	ssDNA Library
YP_009116878.1_PWM_Rep1_A	YP_009116878.1_PWM_Rep2_B	3.82E-05	2.19E-05	2.48E-05	ssDNA Library	ssDNA Library
