ProteinID_A	ProteinID_B	Similarity score	alphaA	alphaB	Family_A	Family_B
YP_009111420.1	YP_009553535.1	3.29E-05	2.10E-05	2.07E-05	Polyomaviridae	Papillomaviridae
YP_717939.1	NP_043126.1	3.06E-05	2.48E-05	2.19E-05	Polyomaviridae	Polyomaviridae
YP_009553535.1	YP_008431134.1	2.91E-05	2.07E-05	2.12E-05	Papillomaviridae	Oomyviridae
YP_009111420.1	YP_008431134.1	2.81E-05	2.10E-05	2.12E-05	Polyomaviridae	Oomyviridae
YP_717939.1	YP_009111420.1	2.68E-05	2.48E-05	2.10E-05	Polyomaviridae	Polyomaviridae
YP_010782993.1	AVM80381.1	2.49E-05	2.29E-05	2.10E-05	Polyomaviridae	Parvoviridae
NP_043126.1	AVM80381.1	2.49E-05	2.19E-05	2.10E-05	Polyomaviridae	Parvoviridae
NP_043126.1	YP_010782993.1	2.48E-05	2.19E-05	2.29E-05	Polyomaviridae	Polyomaviridae
YP_009111420.1	YP_001111256.1	2.34E-05	2.10E-05	2.19E-05	Polyomaviridae	Polyomaviridae
YP_717939.1	YP_001111256.1	2.30E-05	2.48E-05	2.19E-05	Polyomaviridae	Polyomaviridae
YP_009553535.1	YP_001111256.1	2.29E-05	2.07E-05	2.19E-05	Papillomaviridae	Polyomaviridae
YP_717939.1	YP_008431134.1	2.15E-05	2.48E-05	2.12E-05	Polyomaviridae	Oomyviridae
YP_717939.1	YP_009553535.1	2.15E-05	2.48E-05	2.07E-05	Polyomaviridae	Papillomaviridae
NP_043126.1	YP_009111420.1	2.10E-05	2.19E-05	2.10E-05	Polyomaviridae	Polyomaviridae
NP_043126.1	YP_001111256.1	2.10E-05	2.19E-05	2.19E-05	Polyomaviridae	Polyomaviridae
YP_008431134.1	YP_001111256.1	2.01E-05	2.12E-05	2.19E-05	Oomyviridae	Polyomaviridae
NP_043126.1	YP_009553535.1	2.00E-05	2.19E-05	2.07E-05	Polyomaviridae	Papillomaviridae
YP_717937.1	AVM80381.1	1.91E-05	2.29E-05	2.10E-05	Polyomaviridae	Parvoviridae
YP_717939.1	YP_010782993.1	1.72E-05	2.48E-05	2.29E-05	Polyomaviridae	Polyomaviridae
YP_717937.1	YP_001111256.1	1.72E-05	2.29E-05	2.19E-05	Polyomaviridae	Polyomaviridae
NP_043126.1	YP_008431134.1	1.72E-05	2.19E-05	2.12E-05	Polyomaviridae	Oomyviridae
YP_717939.1	YP_717937.1	1.55E-05	2.48E-05	2.29E-05	Polyomaviridae	Polyomaviridae
YP_717939.1	AVM80381.1	1.54E-05	2.48E-05	2.10E-05	Polyomaviridae	Parvoviridae
YP_008431134.1	YP_717937.1	1.22E-05	2.12E-05	2.29E-05	Oomyviridae	Polyomaviridae
NP_043126.1	YP_717937.1	1.15E-05	2.19E-05	2.29E-05	Polyomaviridae	Polyomaviridae
YP_001111256.1	AVM80381.1	1.15E-05	2.19E-05	2.10E-05	Polyomaviridae	Parvoviridae
YP_009553535.1	YP_717937.1	1.01E-05	2.07E-05	2.29E-05	Papillomaviridae	Polyomaviridae
YP_717937.1	YP_010782993.1	9.69E-06	2.29E-05	2.29E-05	Polyomaviridae	Polyomaviridae
YP_009111420.1	YP_717937.1	9.22E-06	2.10E-05	2.29E-05	Polyomaviridae	Polyomaviridae
YP_009553535.1	AVM80381.1	8.65E-06	2.07E-05	2.10E-05	Papillomaviridae	Parvoviridae
YP_009111420.1	YP_010782993.1	8.10E-06	2.10E-05	2.29E-05	Polyomaviridae	Polyomaviridae
YP_001111256.1	YP_010782993.1	7.65E-06	2.19E-05	2.29E-05	Polyomaviridae	Polyomaviridae
YP_008431134.1	AVM80381.1	6.83E-06	2.12E-05	2.10E-05	Oomyviridae	Parvoviridae
YP_009553535.1	YP_010782993.1	6.67E-06	2.07E-05	2.29E-05	Papillomaviridae	Polyomaviridae
YP_009111420.1	AVM80381.1	6.30E-06	2.10E-05	2.10E-05	Polyomaviridae	Parvoviridae
YP_008431134.1	YP_010782993.1	6.19E-06	2.12E-05	2.29E-05	Oomyviridae	Polyomaviridae
YP_009116878.1	YP_009508841.1	3.62E-05	2.10E-05	2.48E-05	Smacoviridae	Smacoviridae
NP_957885.1	YP_003457415.1	1.77E-05	2.67E-05	2.29E-05	Poxviridae	Poxviridae
YP_002213784.1	YP_001974456.1	1.62E-05	2.17E-05	2.05E-05	Adenoviridae	Adenoviridae
YP_009508805.1	YP_009058895.1	6.33E-05	2.06E-05	2.13E-05	Parvoviridae	Parvoviridae
