Protein_ID,TCPK on Viral genome,TCPK on host chromosome,TCPK on host Mitochondrial genome,Genome_length (bp),Mitochondrial_genome_length(bp)
YP_010509362.1,66.41490267,83.47151697,95.84163196,212633,16569
NP_570541.1,71.75321677,82.90747946,79.60649406,205719,16569
YP_010377141.1,74.5554209,83.0623106,90.89263082,197209,16569
YP_001129451.1,131.9661504,75.81789935,83.71054379,172764,16569
NP_050210.1,105.6663829,90.95775493,87.87494719,162114,16569
YP_009137113.1,91.97750654,90.08167363,91.85828958,152222,16569
YP_003457415.1,271.1216954,111.3374756,148.5303881,145289,16569
NP_957885.1,218.3664137,121.1166433,163.4980989,139962,16569
YP_009246379.1,68.77729258,102.2417289,96.50552236,37556,16569
YP_007518320.1,121.8307183,94.85610299,101.2734625,36838,16569
YP_006272959.1,162.8939555,103.0432604,170.1973565,36711,16569
YP_002213784.1,98.35045129,139.9864079,136.0975315,35343,16569
YP_001974456.1,68.26668187,104.0539619,91.73758223,35083,16569
YP_005271181.1,160.5043074,114.4854306,158.4283904,31806,16569
YP_005271187.1,74.8915299,110.1264618,91.13404551,31806,16569
YP_009553535.1,77.92030568,97.78567401,161.7765684,7328,16569
YP_009111420.1,86.69018006,92.71769642,153.6224871,5387,16569
NP_043126.1,97.65401488,98.84018668,170.4081633,5243,16569
YP_717937.1,72.19095672,80.99520014,141.4738725,5153,16569
YP_717939.1,112.361731,120.1877339,190.9167755,5153,16569
YP_009030018.1,115.1135474,106.6138435,105.1795671,5108,16569
YP_001111256.1,90.67460317,90.49471622,145.0979124,5040,16569
YP_001111258.1,96.03174603,88.20279436,91.84351277,5040,16569
YP_009058895.1,89.79505599,73.26067264,85.16689979,4733,16569
YP_009508805.1,78.54578097,75.5287377,88.33722224,4456,16569
YP_010796333.1,94.03254973,102.1465162,91.71864142,4424,16569
YP_008431134.1,101.3227513,89.08813547,142.1072004,3780,16569
YP_009508864.1,117.6470588,116.7170904,120.2731413,2601,16569
YP_009116878.1,114.2276423,110.2595612,142.6645325,2460,16569
YP_009508841.1,107.7235772,118.7025544,159.7258577,2460,16569
