fragment,hit_count,chr,Protein_ID,start,stop,fimo_scan_length,Target_Counts_Per_Kilobase,genome_length
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_10307_15459,1111,MT,YP_717939.1,10307,15459,5153,215.60256161459344,5153
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_15460_16569,212,MT,YP_717939.1,15460,16569,1110,190.99099099099098,5153
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_1_5153,876,MT,YP_717939.1,1,5153,5153,169.99805938288375,5153
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_5154_10306,964,MT,YP_717939.1,5154,10306,5153,187.07549000582185,5153
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_10487_15729,977,MT,NP_043126.1,10487,15729,5243,186.3436963570475,5243
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_15730_16569,144,MT,NP_043126.1,15730,16569,840,171.42857142857142,5243
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_1_5243,856,MT,NP_043126.1,1,5243,5243,163.26530612244898,5243
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_5244_10486,842,MT,NP_043126.1,5244,10486,5243,160.5950791531566,5243
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_10775_16161,800,MT,YP_009111420.1,10775,16161,5387,148.50566177835532,5387
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_16162_16569,75,MT,YP_009111420.1,16162,16569,408,183.82352941176472,5387
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_1_5387,785,MT,YP_009111420.1,1,5387,5387,145.72118062001113,5387
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_5388_10774,735,MT,YP_009111420.1,5388,10774,5387,136.43957675886392,5387
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_14657_16569,310,MT,YP_009553535.1,14657,16569,1913,162.0491374803973,7328
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_1_7328,1184,MT,YP_009553535.1,1,7328,7328,161.5720524017467,7328
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_7329_14656,1185,MT,YP_009553535.1,7329,14656,7328,161.70851528384281,7328
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_11341_15120,555,MT,YP_008431134.1,11341,15120,3780,146.82539682539684,3780
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_15121_16569,210,MT,YP_008431134.1,15121,16569,1449,144.92753623188406,3780
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_1_3780,548,MT,YP_008431134.1,1,3780,3780,144.973544973545,3780
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_3781_7560,539,MT,YP_008431134.1,3781,7560,3780,142.5925925925926,3780
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_7561_11340,496,MT,YP_008431134.1,7561,11340,3780,131.21693121693121,3780
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_10307_15459,728,MT,YP_717937.1,10307,15459,5153,141.27692606248786,5153
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_15460_16569,162,MT,YP_717937.1,15460,16569,1110,145.94594594594597,5153
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_1_5153,691,MT,YP_717937.1,1,5153,5153,134.0966427323889,5153
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_5154_10306,745,MT,YP_717937.1,5154,10306,5153,144.5759751601009,5153
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_10081_15120,743,MT,YP_001111256.1,10081,15120,5040,147.4206349206349,5040
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_15121_16569,222,MT,YP_001111256.1,15121,16569,1449,153.20910973084887,5040
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_1_5040,716,MT,YP_001111256.1,1,5040,5040,142.06349206349205,5040
MT_dna_sm_chromosome_chromosome_GRCh38_MT_1_16569_1_REF_5041_10080,694,MT,YP_001111256.1,5041,10080,5040,137.6984126984127,5040
