Protein_ID,Genome_length_group,context,context_raw_hit_count,context_scan_length_bp,total_raw_hit_count_three_contexts,total_scan_length_bp_three_contexts,expected_raw_hit_count,fold_enrichment,hypergeom_overrepresentation_p_raw,hypergeom_overrepresentation_p_BH_FDR,significant_BH_FDR_0.05,hypergeom_overrepresentation_p_Holm,significant_Holm_0.05
NP_043126.1,Similar_list,Viral genome,513,5243,305253609,3088291644,518.2297711734508,0.9899083930249535,0.6023266421704865,1.0,False,1.0,False
NP_043126.1,Similar_list,Host mitochondrial genome,2819,16569,305253609,3088291644,1637.7167801970065,1.7212988436626344,3.4834006253411676e-175,7.315141313216452e-174,True,7.315141313216452e-174,True
NP_043126.1,Similar_list,Host nuclear genome,305250277,3088269832,305253609,3088291644,305251453.0534486,0.9999961472633894,1.0,1.0,False,1.0,False
YP_001111256.1,Similar_list,Viral genome,458,5040,279480242,3088291441,456.1034625747292,1.0041581298562496,0.47001363986944,1.0,False,1.0,False
YP_001111256.1,Similar_list,Host mitochondrial genome,2375,16569,279480242,3088291441,1499.4401332144223,1.583924524488082,8.953326693958323e-108,3.1336643428854135e-107,True,1.4325322710333317e-106,True
YP_001111256.1,Similar_list,Host nuclear genome,279477409,3088269832,279480242,3088291441,279478286.4564042,0.9999968603771859,1.0,1.0,False,1.0,False
YP_008431134.1,Similar_list,Viral genome,384,3780,275134780,3088290181,336.7589855378296,1.1402813777536565,0.004348842933634834,0.01141571270079144,True,0.06088380107088767,False
YP_008431134.1,Similar_list,Host mitochondrial genome,2348,16569,275134780,3088290181,1476.126886607486,1.5906491652599726,3.43867865494948e-108,1.4442450350787817e-107,True,5.845753713414116e-107,True
YP_008431134.1,Similar_list,Host nuclear genome,275132048,3088269832,275134780,3088290181,275132967.1141279,0.9999966593820525,1.0,1.0,False,1.0,False
YP_009111420.1,Similar_list,Viral genome,468,5387,286344837,3088291788,499.47988817402506,0.9369746632059446,0.9345556943280795,1.0,False,1.0,False
YP_009111420.1,Similar_list,Host mitochondrial genome,2395,16569,286344837,3088291788,1536.269216104589,1.5589715493179215,3.8081369519181505e-102,1.1424410855754451e-101,True,5.712205427877226e-101,True
YP_009111420.1,Similar_list,Host nuclear genome,286341974,3088269832,286344837,3088291788,286342801.25089574,0.99999711097715,1.0,1.0,False,1.0,False
YP_009553535.1,Similar_list,Viral genome,572,7328,301999562,3088293729,716.5940109759554,0.7982204585005845,0.9999999980632216,1.0,False,1.0,False
YP_009553535.1,Similar_list,Host mitochondrial genome,2679,16569,301999562,3088293729,1620.257391902375,1.6534409985653793,2.2056590706771908e-144,1.1579710121055254e-143,True,3.9701863272189437e-143,True
YP_009553535.1,Similar_list,Host nuclear genome,301996311,3088269832,301999562,3088293729,301997225.1485971,0.9999969729900774,1.0,1.0,False,1.0,False
YP_717937.1,Similar_list,Viral genome,373,5153,250141106,3088291554,417.375463643806,0.8936797499872282,0.9899187119491181,1.0,False,1.0,False
YP_717937.1,Similar_list,Host mitochondrial genome,2326,16569,250141106,3088291554,1342.0326134512363,1.7331918588910782,8.826227155892454e-145,6.178359009124719e-144,True,1.6769831596195664e-143,True
YP_717937.1,Similar_list,Host nuclear genome,250138407,3088269832,250141106,3088291554,250139346.5919229,0.9999962437260043,1.0,1.0,False,1.0,False
YP_717939.1,Similar_list,Viral genome,580,5153,371181294,3088291554,619.3382893220191,0.9364833565108945,0.9570466868529661,1.0,False,1.0,False
YP_717939.1,Similar_list,Host mitochondrial genome,3163,16569,371181294,3088291554,1991.4255998013846,1.5883094002183475,3.1975023755289187e-150,3.3573774943053648e-149,True,6.395004751057837e-149,True
YP_717939.1,Similar_list,Host nuclear genome,371177551,3088269832,371181294,3088291554,371178683.23611087,0.9999969496197869,1.0,1.0,False,1.0,False
